ResourceID,Geo,Period,Label1,Label2,Label3,Value,Unit,Measure,Multiplier
CPWEE1,,2011-04-17,60 to 79,,,164,Number,Registered deaths,0
CPWEE1,,2011-04-17,80 and over,,,274,Number,Registered deaths,0
CPWEE1,,2011-04-17,Total,,,519,Number,Registered deaths,0
CPWEE1,,2011-04-17,Under 30,,,22,Number,Registered deaths,0
CPWEE1,,2011-04-24,30 to 59,,,65,Number,Registered deaths,0
CPWEE1,,2011-04-24,60 to 79,,,179,Number,Registered deaths,0
CPWEE1,,2011-04-24,80 and over,,,302,Number,Registered deaths,0
CPWEE1,,2011-04-24,Total,,,569,Number,Registered deaths,0
CPWEE1,,2011-04-24,Under 30,,,23,Number,Registered deaths,0
CPWEE1,,2011-05-01,30 to 59,,,74,Number,Registered deaths,0
CPWEE1,,2011-05-01,60 to 79,,,198,Number,Registered deaths,0
CPWEE1,,2011-05-01,80 and over,,,278,Number,Registered deaths,0
CPWEE1,,2011-05-01,Total,,,564,Number,Registered deaths,0
CPWEE1,,2011-05-01,Under 30,,,14,Number,Registered deaths,0
CPWEE1,,2011-05-08,30 to 59,,,75,Number,Registered deaths,0
CPWEE1,,2011-05-08,60 to 79,,,201,Number,Registered deaths,0
CPWEE1,,2011-05-08,80 and over,,,312,Number,Registered deaths,0
CPWEE1,,2011-05-08,Total,,,602,Number,Registered deaths,0
CPWEE1,,2011-05-08,Under 30,,,14,Number,Registered deaths,0
CPWEE1,,2011-05-15,30 to 59,,,69,Number,Registered deaths,0
CPWEE1,,2011-05-15,60 to 79,,,179,Number,Registered deaths,0
CPWEE1,,2011-05-15,80 and over,,,301,Number,Registered deaths,0
CPWEE1,,2011-05-15,Total,,,566,Number,Registered deaths,0
CPWEE1,,2011-05-15,Under 30,,,17,Number,Registered deaths,0
CPWEE1,,2011-05-22,30 to 59,,,67,Number,Registered deaths,0
CPWEE1,,2011-05-22,60 to 79,,,196,Number,Registered deaths,0
CPWEE1,,2011-05-22,80 and over,,,277,Number,Registered deaths,0
CPWEE1,,2011-05-22,Total,,,554,Number,Registered deaths,0
CPWEE1,,2011-05-22,Under 30,,,14,Number,Registered deaths,0
CPWEE1,,2011-05-29,30 to 59,,,71,Number,Registered deaths,0
CPWEE1,,2011-05-29,60 to 79,,,188,Number,Registered deaths,0
CPWEE1,,2011-05-29,80 and over,,,297,Number,Registered deaths,0
CPWEE1,,2011-05-29,Total,,,575,Number,Registered deaths,0
CPWEE1,,2011-05-29,Under 30,,,19,Number,Registered deaths,0
CPWEE1,,2011-06-05,30 to 59,,,54,Number,Registered deaths,0
CPWEE1,,2011-06-05,60 to 79,,,190,Number,Registered deaths,0
CPWEE1,,2011-06-05,80 and over,,,283,Number,Registered deaths,0
CPWEE1,,2011-06-05,Total,,,542,Number,Registered deaths,0
CPWEE1,,2011-06-05,Under 30,,,15,Number,Registered deaths,0
CPWEE1,,2011-06-12,30 to 59,,,62,Number,Registered deaths,0
CPWEE1,,2011-06-12,60 to 79,,,207,Number,Registered deaths,0
CPWEE1,,2011-06-12,80 and over,,,278,Number,Registered deaths,0
CPWEE1,,2011-06-12,Total,,,562,Number,Registered deaths,0
CPWEE1,,2011-06-12,Under 30,,,15,Number,Registered deaths,0
CPWEE1,,2011-06-19,30 to 59,,,70,Number,Registered deaths,0
CPWEE1,,2011-06-19,60 to 79,,,185,Number,Registered deaths,0
CPWEE1,,2011-06-19,80 and over,,,306,Number,Registered deaths,0
CPWEE1,,2011-06-19,Total,,,579,Number,Registered deaths,0
CPWEE1,,2011-06-19,Under 30,,,18,Number,Registered deaths,0
CPWEE1,,2011-06-26,30 to 59,,,69,Number,Registered deaths,0
CPWEE1,,2011-06-26,60 to 79,,,193,Number,Registered deaths,0
CPWEE1,,2011-06-26,80 and over,,,305,Number,Registered deaths,0
CPWEE1,,2011-06-26,Total,,,582,Number,Registered deaths,0
CPWEE1,,2011-06-26,Under 30,,,15,Number,Registered deaths,0
CPWEE1,,2011-07-03,30 to 59,,,73,Number,Registered deaths,0
